session_id,subsession_id,start_time,end_time,license_category,num_drivers,event_average_lap,event_best_lap_time,event_laps_complete,cust_id,starting_position,finish_position,starting_position_in_class,finish_position_in_class,laps_complete,laps_led,incidents,car_class_name,car_name,track_id,track_name,track_config,official_session,season_year,season_quarter,event_type_name,series_name,race_week_num,event_strength_of_field,champ_points
308756333,85531036,2026-05-06T02:30:00Z,2026-05-06T02:58:04Z,Sports Car,11,1173440,1126518,7,1453634,8,4,8,4,7,0,1,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1151,40
308811653,85541481,2026-05-06T15:30:00Z,2026-05-06T15:59:55Z,Sports Car,12,1164832,1136395,7,1453634,9,3,9,3,7,0,2,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1127,48
308816001,85542449,2026-05-06T16:30:00Z,2026-05-06T17:02:22Z,Sports Car,11,1161398,1131480,7,1453634,7,8,7,8,7,0,1,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1261,14
308822398,85543961,2026-05-06T18:00:00Z,2026-05-06T18:30:23Z,Sports Car,12,1161758,1139064,7,1453634,2,2,2,2,7,0,0,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1149,56
308824724,85544629,2026-05-06T18:30:00Z,2026-05-06T19:00:35Z,Sports Car,12,1175678,1144442,7,1453634,10,6,10,6,7,0,5,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1217,33
308826811,85545093,2026-05-06T19:00:00Z,2026-05-06T19:31:52Z,Sports Car,12,1162164,1136724,7,1453634,9,5,9,5,7,0,4,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1200,39
308829158,85545750,2026-05-06T19:30:00Z,2026-05-06T20:05:16Z,Sports Car,12,1156837,1137387,7,1453634,10,1,10,1,7,0,0,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1188,64
308831248,85546201,2026-05-06T20:00:00Z,2026-05-06T20:28:09Z,Sports Car,12,1153872,1138620,7,1453634,9,8,9,8,7,0,2,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1259,20
308833564,85546841,2026-05-06T20:30:00Z,2026-05-06T21:06:09Z,Sports Car,12,1150177,1137115,7,1453634,11,5,11,5,7,0,1,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1259,40
308835658,85547313,2026-05-06T21:00:00Z,2026-05-06T21:28:53Z,Sports Car,12,1152296,1136149,7,1453634,9,7,9,7,7,0,0,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1260,27
308947849,85573016,2026-05-07T22:30:00Z,2026-05-07T22:56:23Z,Formula Car,10,819858,794310,9,1453634,5,5,5,5,8,0,6,Formula Vee,Formula Vee,202,Oran Park Raceway,Grand Prix,True,2026,2,Race,Formula Vee Series by trophi.ai,7,1225,32
308950124,85573655,2026-05-07T23:00:00Z,2026-05-07T23:25:57Z,Formula Car,11,803953,792250,9,1453634,7,7,7,7,9,0,0,Formula Vee,Formula Vee,202,Oran Park Raceway,Grand Prix,True,2026,2,Race,Formula Vee Series by trophi.ai,7,1290,22
309063808,85599813,2026-05-09T00:45:00Z,2026-05-09T01:18:42Z,Sports Car,19,897035,882008,11,1453634,10,11,10,11,11,0,4,Ford Mustang GT4,Ford Mustang GT4,127,Road Atlanta,Full Course,True,2026,2,Race,Ford Mustang Challenge by Skip Barber,7,1024,24
309122617,85613233,2026-05-09T14:00:00Z,2026-05-09T14:39:17Z,Sports Car,12,1147637,1121397,7,1453634,5,2,5,2,7,0,3,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,180,Oulton Park Circuit,International,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,7,1208,58
309125862,85613975,2026-05-09T14:45:00Z,2026-05-09T15:18:13Z,Sports Car,12,891774,883439,11,1453634,5,11,5,11,4,0,17,Ford Mustang GT4,Ford Mustang GT4,127,Road Atlanta,Full Course,True,2026,2,Race,Ford Mustang Challenge by Skip Barber,7,754,3
309371791,85673029,2026-05-11T22:30:00Z,2026-05-11T22:54:50Z,Formula Car,10,810601,799322,9,1453634,4,9,4,9,9,0,0,Formula Vee,Formula Vee,202,Oran Park Raceway,Grand Prix,True,2026,2,Race,Formula Vee Series by trophi.ai,7,1231,4
309373918,85673605,2026-05-11T23:00:00Z,2026-05-11T23:25:52Z,Formula Car,11,809525,792302,9,1453634,1,5,1,5,9,0,0,Formula Vee,Formula Vee,202,Oran Park Raceway,Grand Prix,True,2026,2,Race,Formula Vee Series by trophi.ai,7,1214,36
309434040,85687879,2026-05-12T12:45:00Z,2026-05-12T13:18:28Z,Sports Car,12,982956,973157,10,1453634,8,10,8,10,8,0,2,Ford Mustang GT4,Ford Mustang GT4,166,Okayama International Circuit,Full Course,True,2026,2,Race,Ford Mustang Challenge by Skip Barber,8,1020,10
309437349,85688491,2026-05-12T13:30:00Z,2026-05-12T13:58:32Z,Sports Car,11,986441,963392,8,1453634,6,3,6,3,8,0,0,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,489,Circuit de L̩denon,N/A,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,8,1107,46
309441693,85689415,2026-05-12T14:30:00Z,2026-05-12T14:55:53Z,Oval,24,305848,294067,25,1453634,14,8,14,8,18,0,8,Silverado,[Legacy] NASCAR Truck Chevrolet Silverado - 2008,104,[Legacy] Phoenix Raceway - 2008,Oval,False,2026,2,Race,NASCAR Pickup Cup,8,1289,-1
309474164,85697494,2026-05-12T22:00:00Z,2026-05-12T22:29:25Z,Sports Car,11,984388,964548,8,1453634,3,4,3,4,8,0,5,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,489,Circuit de L̩denon,N/A,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,8,1139,40
